skld_id;dkzl_id;data_sprzedazy;preparat;preparat_nazwa;preparat_gabaryt;ilosc_zlecona;oddzial;magazyn;magazyn_skrot;magazyn_typ;lokalizacja;numer_serii;data_waznosci;kontrahent;kontrahent_nazwa;odbiorca;odbiorca_nazwa;rodzaj_zlecenia;zdalne;tryb_realizacji;wlasciciel;dysponent;trasa;wyjazd
1237932312;241673456;09.01.2020;175212;Co-Amlessa, 8 mg+10 mg+2,5 mg, tabl., 30 szt;169;3;101;13;K1;W;I-1-03-1-2;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932303;241673456;09.01.2020;143960;Clatra, 20 mg, tabl., 30 szt;151;4;101;13;K1;W;J-0-06-3-1;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932322;241673456;09.01.2020;57686;Zinnat,  250 mg/5 ml, gran.d/sp.zaw.doustn., 50 ml;342;4;101;13;K1;W;J-0-03-2-6;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932260;241673456;09.01.2020;243844;Adaster, 5 mg, tabl.powl., 90 szt;163;1;101;13;K1;W;A-4-00-R-34;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932264;241673456;09.01.2020;242363;Adatam, 0,4 mg, kaps.o zmod.uwaln,tw.,90 szt;619;1;101;13;K1;W;T-1-07-1-1;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932241;241673456;09.01.2020;14356;Sulpiryd Teva,  50 mg, kaps.twarde, 24 szt,blistry;108;5;101;13;K1;W;M-0-02-0-7;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932125;241673456;09.01.2020;22085;Cyclonamine, 250 mg, tabl., 30 szt;119;2;101;13;K1;W;L-0-04-1-6;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932270;241673456;09.01.2020;133574;Amlopin  5 mg, 5 mg, tabl., 30 szt,bl(3x10);86;5;101;13;K1;W;K-0-08-1-5;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932223;241673456;09.01.2020;44042;Salviasept, konc.d/sp.roztw.d/płuk.gardła, 38 ml;168;1;101;13;K1;W;U-0-08-1-4;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932325;241673456;09.01.2020;85536;Zolafren, 10 mg, tabl.powl., 30 szt;62;2;101;13;K1;W;I-0-01-1-5;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932167;241673456;09.01.2020;14168;Molsidomina  WZF, 2 mg, tabl., 30 szt, blister;165;5;101;13;K1;W;J-0-02-1-3;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932139;241673456;09.01.2020;116120;Flos-Lek,żel, z arniką, pod oczy,na sińce,15 ml;160;1;101;13;K1;W;C-4-02-A-1;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932284;241673456;09.01.2020;153959;Aulin, 100 mg, gran.d/sp.zaw.doustn., 30 sasz.;470;1;101;13;K1;W;P-0-05-2-0;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932253;241673456;09.01.2020;36584;Xylometazolin WZF 0.1%,1 mg/ml,krople do nosa, 10 ml;80;5;101;13;K1;W;K-0-01-1-1;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932148;241673456;09.01.2020;124665;Klabax, 500 mg, tabl.powl., 20 szt,bl(2x10);142;1;101;13;K1;W;I-0-07-2-4;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932227;241673456;09.01.2020;133937;Siofor 1000, 1000 mg, tabl.powl., 60 szt,bl(4x15);331;2;101;13;K1;W;L-0-05-2-5;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
1237932267;241673456;09.01.2020;146944;Adeksa, 100 mg, tabl., 30 szt;140;5;101;13;K1;W;N-0-02-2-3;;;10140;APTEKA;10140;APTEKA;N;N;N;36657;;;
